fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,date,home_team,away_team,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season
Leicester v Arsenal,0.21033549681305885,0.0,0.343356903642416,0.0,0.0,0,0,1,0,0,2016-08-20,Leicester,Arsenal,2,0,6,0,0,0.0,0.016283400356769562,0.5068039987236261,0.0,0.0,0,0,4,0,0,0,1,12,0,0,0.5536924004554749,0.5230873990803957,0.5536924004554749,0.5230873990803957,0.21033549681305885,0.016283400356769562,2016
Sunderland v Middlesbrough,0.0,0.059989599511027336,1.3399465139955282,0.0,0.064563799649477,0,0,4,0,1,2016-08-21,Sunderland,Middlesbrough,0,2,14,0,2,0.0,0.0,0.8549074213951826,0.0,0.0,0,0,3,0,0,0,0,8,0,0,1.4644999131560326,0.8549074213951826,1.4644999131560326,0.8549074213951826,0.12455339916050434,0.0,2016
West Ham v Bournemouth,0.09172859787940979,0.0,1.5363885099068284,0.0,0.06476195901632309,0,0,2,0,0,2016-08-21,West Ham,Bournemouth,1,0,13,0,2,0.0,0.15444960072636604,0.24366809986531734,0.0,0.0,0,1,4,0,0,0,2,6,0,0,1.6928790668025613,0.3981177005916834,1.6928790668025613,0.3981177005916834,0.15649055689573288,0.15444960072636604,2016
Tottenham v Liverpool,0.12023739889264107,0.14865880459547043,0.3216150030493736,0.0,0.0,2,1,1,0,0,2016-08-27,Tottenham,Liverpool,2,2,7,0,0,0.0,0.1336590051651001,1.0308632869273424,0.7611690163612366,0.0,0,0,2,1,0,0,1,11,1,0,0.5905112065374851,1.925691308453679,0.5905112065374851,1.1645222920924425,0.2688962034881115,0.1336590051651001,2016
Chelsea v Burnley,0.0677104964852333,0.7811305029317737,1.809533091261983,0.0,0.0,0,2,7,0,0,2016-08-27,Chelsea,Burnley,1,7,14,0,0,0.0,0.04853689856827259,0.13595269806683064,0.0,0.0,0,0,0,0,0,0,2,4,0,0,2.65837409067899,0.18448959663510323,2.65837409067899,0.18448959663510323,0.848840999417007,0.04853689856827259,2016
Crystal Palace v Bournemouth,0.06708680093288422,0.5622874945402145,1.2706220396794379,0.7611690163612366,0.04519540164619684,0,0,3,1,0,2016-08-27,Crystal Palace,Bournemouth,1,6,14,1,2,0.18176020681858063,0.0,0.7115249074995518,0.0,0.08072919957339764,0,0,2,0,1,3,0,5,0,2,2.70636075315997,0.97401431389153,1.9451917367987335,0.97401431389153,0.6745696971192956,0.26248940639197826,2016
Everton v Stoke,0.08290089666843414,0.6378836911171675,0.8363987989723682,0.7611690163612366,0.0,1,0,5,1,0,2016-08-27,Everton,Stoke,1,5,14,1,0,0.0,0.01748109981417656,0.169933897908777,0.0,0.0,0,0,1,0,0,0,1,7,0,1,2.3183524031192064,0.18741499772295356,1.5571833867579699,0.18741499772295356,0.7207845877856016,0.01748109981417656,2016
Leicester v Swansea,0.12023500353097916,0.3840259909629822,1.0214496925473213,0.7611690163612366,0.5653366968035698,0,1,3,1,1,2016-08-27,Leicester,Swansea,1,1,8,1,2,0.0,0.014731800183653831,0.31344849336892366,0.0,0.0,0,0,3,0,0,0,1,8,0,0,2.852216400206089,0.3281802935525775,2.0910473838448524,0.3281802935525775,1.0695976912975311,0.014731800183653831,2016
Southampton v Sunderland,0.12990260124206543,0.019397400319576263,0.4644425017759204,0.0,0.0,0,0,7,0,0,2016-08-27,Southampton,Sunderland,2,1,13,0,0,0.11963900178670883,0.31267601251602173,0.09860009700059891,0.7611690163612366,0.09933660179376602,1,0,0,1,0,1,1,1,1,1,0.6137425033375621,1.391420729458332,0.6137425033375621,0.6302517130970955,0.1493000015616417,0.5316516160964966,2016
Watford v Arsenal,0.0,0.17690359801054,0.9212030088528991,0.0,0.0,0,1,5,0,0,2016-08-27,Watford,Arsenal,0,2,12,0,0,0.0,0.0,1.2766987048089504,0.7611690163612366,0.0,0,0,6,1,0,0,0,9,1,0,1.098106606863439,2.037867721170187,1.098106606863439,1.2766987048089504,0.17690359801054,0.0,2016
